security_id,market,ticker,end_month,case_id,name
SEDOL:B00KTN5,UK,UTL,2023-01,SEDOL:532707,UIL
SEDOL:455934,UK,IBT,2023-01,SEDOL:B1NP514,International Biotechnology
SEDOL:B29BN19,UK,GHV1,2023-02,SEDOL:BNNPF74,Gresham House Income & Growth VCT
SEDOL:3073827,UK,CTPE,2023-02,SEDOL:BTC2K73,CT Private Equity Trust
SEDOL:BFFK7H5,UK,OIT,2023-02,SEDOL:BYYJCZ9,Odyssean Investment Trust
SEDOL:3051726,UK,MNKS,2023-03,SEDOL:BNCBFM8,Monks Investment Trust
SEDOL:3047468,UK,PPET,2023-03,SEDOL:BYSQV48,Patria Private Equity
SEDOL:BVG1CF2,UK,INOV,2023-05,SEDOL:B44ZTP6,Schroders Capital Global Innovation Trust
SEDOL:B1FL3C7,UK,AFL,2023-07,SEDOL:876999,Artemis UK Future Leaders
SEDOL:846505,UK,JAM,2023-07,SEDOL:B012T52,JPMorgan American
SEDOL:3436594,UK,MIGO,2023-07,SEDOL:BD89H86,MIGO Opportunities Trust
SEDOL:848471,UK,VIP,2023-08,NAME:atlantis japan growth|ordinary share,Value and Indexed Property Income Trust
SEDOL:B95CGW7,UK,THRL,2023-08,SEDOL:577656,Target Healthcare REIT
SEDOL:BGHVZM4,UK,SEIT,2023-09,SEDOL:392075,SDCL Efficiency Income
SEDOL:BBP6HP3,UK,DPA,2023-09,SEDOL:BMXNVC8,DP Aircraft I
SEDOL:305233,UK,EDIN,2023-09,SEDOL:BNGMZB6,Edinburgh Investment Trust
SEDOL:BJP5HK1,UK,HOME,2023-10,NAME:abrdn new dawn|ordinary share,Home REIT
SEDOL:BJL5FH8,UK,FGEN,2023-10,SEDOL:806372,Foresight Environmental Infrastructure
SEDOL:BG49KP9,UK,BBOX,2023-10,SEDOL:BLN7H03,Tritax Big Box REIT
SEDOL:BKPG013,UK,SSIT,2023-12,SEDOL:3387528,Seraphim Space Investment Trust
SEDOL:BYV2ZQ3,UK,RGL,2023-12,SEDOL:B1Y1NS4,Regional REIT
SEDOL:BKTRRM2,UK,RTW,2023-12,SEDOL:BD8HBD3,RTW Biotech Opportunities
SEDOL:3227334,UK,BEMO,2023-12,SEDOL:BYWYZ46,Barings Emerging EMEA Opportunities
