AIC,Fund,Share,MonthEnd,Code,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Monthend MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),RevAllocation % (splits only),Shares,Shares,Shares,Shares,Sell,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,Gearing,Range,NoRange,GearingNote,Permanent,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,,Additional geographic,,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,,AIC,Unit1,Unit1,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,Total Assets ex CYR,FootNote,FairValue,ShareNote,Reported Currency
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other , , , , , , , , ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Japanese Smaller Companies,Baillie Gifford Shin Nippon,Ordinary Share,30/06/2014,GB0000706274,134069078,19339970,20137065,19339970,20137065,0,0,0,0,0,19339970,329.75,,16430,,,37075497,200000,0,0,N/A,6,17,10,,,,Y,,N,100,114729108,114712678,309.4,,,,,309.45,,,,,307.25,,,,,307.3,,,,,1.1,6,0,0,0,0,94,0,0,6,0,0,66,6,22,0,99,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,134052648,,,"30/06/14 200,000 shares issued at 327.0p, total consideration £652,691",GBP
Japanese Smaller Companies,Fidelity Japanese Values,Ordinary Share,30/06/2014,GB0003328555,111057381,17244678,17244678,17244678,17244678,17244678,0,0,0,0,17244678,74.5,,-112941,,,113954834,0,0,0,N/A,2,18,16,,0,30,,,Y,100,93812703,93925644,,,,,,82.32,,,,,,,,,,82.32,,,,,,2,0,0,0,0,98,0,0,2,0,0,82.14,1.39,14.47,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,111170322,,,,GBP
Japanese Smaller Companies,JPMorgan Japan Smaller Companies,Ordinary Share,30/06/2014,GB0003165817,121145196,17319381,17319381,17319381,17319381,0,0,0,0,0,17319381,196.75,,-846523,,,46279296,0,0,409500,No,6,17,10,,0,20,,,Y,100,103825815,104672338,,,,,,224.35,,,,224.35,,,,,,224.35,,,,224.35,1.3,6,0,0,0,0,94,0,0,6,0,0,76,2,6,10,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,121991719,,,,GBP
Japanese Smaller Companies,Prospect Japan,Ordinary Share,30/06/2014,GB00B011QL44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Argen tina,Brazil ,Chile ,Colum bia,Mexico ,Other , , , , , , , , ,Argen tina,Brazil ,Chile ,Colum bia,Mexico ,Other ,Argen tina,Brazil ,Chile ,Colum bia,Mexico ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Latin America,Aberdeen Latin American Income,Ordinary Share,30/06/2014,JE00B44ZTP62,65744597,8655730,8655730,8655730,8655730,0,0,0,0,0,8655730,80,,975289,,,65582674,0,0,965000,No,2.63,15,12,,0,20,,,N,100,57088867,56113578,85.56,,,,85.56,87.05,,,,87.05,85.56,,,,85.56,87.05,,,,87.05,5.81,2.63,41.93,1.81,36.03,4.24,1.75,9.98,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,64769308,,,,GBP
Latin America,BlackRock Latin American,Ordinary Share,30/06/2014,GB0005058408,201994282,4046466,4046466,4046466,4046466,0,0,0,0,0,4046466,454,,3907469,,,39369620,0,0,2071662,No,0.01,2,2,,0,25,,,N,100,197947816,194040347,492.87,,,,492.87,502.79,,,,502.79,492.87,,,,492.87,502.79,,,,502.79,,0.01,0.27,0.52,61.31,1.97,1.65,28.24,6.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,198086813,,Calculated based on the exchange rates on the NAV date.,,GBP
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,United States,Canada ,Mexico ,North America,Other ,Cash/Cash Equiv.,Fixed Interest,UK Equities,S&P 500 ,Other US Equities,Other Equities,Other ,TA $ Exposure,UK ,United States,Canada ,Mexico ,North America,Other ,UK ,United States,Canada ,Mexico ,North America,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
North America,BlackRock North American Income,Ordinary Share,30/06/2014,GB00B7W0XJ61,112448408,114048,114048,114048,114048,0,0,0,0,0,114048,109,,885093,,,100361305,0,0,0,N/A,-1.35,0,1,,0,20,,,N,100,112334360,111449267,111.05,,,,,111.93,,,,,111.05,,,,,111.93,,,,,5.36,-1.35,0,1.22,93.91,2.73,0,0,3.49,-1.35,0,1.22,93.91,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,111563315,,,,GBP
North America,JPMorgan American,Ordinary Share,30/06/2014,GB00BKZGVH64,761472483,76169640,83671099,76169640,83671099,0,0,0,0,0,76169640,246.5,,4728681,,,276818910,1150000,0,0,N/A,2,11,9,,0,20,,,N,100,685302843,680574162,245.86,,,,,247.56,,,,,243.15,,,,,244.85,,,,,,2,0,0,98,0,0,0,0,2,0,0,98,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,756743802,,The debenture has been fair valued using discounted cash flow techniques.,,GBP
North America,Middlefield Canadian Income,Ordinary Share,30/06/2014,GB00B15PV034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,North American Income,Ordinary Share,30/06/2014,GB0000293620,299554376,14036319,14036319,14036319,14036319,0,0,0,0,0,14036319,810.5,,3820959,,,33338582,0,0,0,N/A,4.94,5,0,,0,20,,,N,100,285518057,281697098,844.96,,,,,856.42,,,,,844.96,,,,,856.42,,,,,,4.94,7.44,0,79.05,8.57,0,0,0,4.94,7.44,0,76.76,2.29,8.57,0,79.05,14,87,-1,0,0,0,14,87,-1,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,295733417,,,,GBP
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,United States,Canada ,Mexico ,North America,Other ,Cash/Cash Equiv.,Fixed Interest,UK Equities,S&P 500 ,Other US Equities,Other Equities,Other ,TA $ Exposure,UK ,United States,Canada ,Mexico ,North America,Other ,UK ,United States,Canada ,Mexico ,North America,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
North American Smaller Companies,JPMorgan US Smaller Companies,Ordinary Share,30/06/2014,GB00BJL5F346,96175741,6980630,6980630,6980630,6980630,0,0,0,0,0,6980630,149.88,,289423,,,56970928,0,0,0,Yes,0,8,8,,0,15,,,N,100,89195111,88905688,156.05,,,,,156.56,,,,,156.05,,,,,156.56,,,,,1.46,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,95886318,,,,GBP
North American Smaller Companies,Jupiter US Smaller Companies,Ordinary Share,30/06/2014,GB0003463402,164987155,0,0,0,0,0,0,0,0,0,0,668,,-874054,,,24034135,0,0,0,N/A,2.75,0,0,3,,,Y,The Company does not gear.,Y,100,164987155,165861209,,,,,,686.47,,,,,,,,,,686.47,,,,,0.52,2.75,0,0,97.25,0,0,0,0,2.75,0,0,0,97.25,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,165861209,,,,GBP
North American Smaller Companies,North Atlantic Smaller Companies,Ordinary Share,30/06/2014,GB0006439003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North American Smaller Companies,RENN Universal Growth,Ordinary Share,30/06/2014,GB0007325185,36637112,0,0,0,0,0,0,0,0,0,0,266.5,,-247601,,,13078541,0,0,0,N/A,5.95,0,0,6,,,Y,,N,100,36637112,36884713,282.02,,,,,280.13,,,,,282.02,,,,,280.13,,,,,0.36,5.95,0.23,0,93.82,0,0,0,0,5.95,0.23,0,0,93.82,0,0,94.39,91,9,0,0,0,0,0,94,0,0,0,6,*,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,36884713,,,,GBP
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Cash/Cash Equiv.,Fixed Interest,UK Listed,UK Unlisted,Cont. Eur Listed,Cont. Eur Unlisted,US Listed,US Unlisted,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Private Equity,Aberdeen Private Equity,Ordinary Share,30/06/2014,GG00B1XCHB94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Better Capital 2009,Ordinary Share,30/06/2014,GG00B5885941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Better Capital 2012,Ordinary Share,30/06/2014,GG00B4N1RV71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Dunedin Enterprise,Ordinary Share,30/06/2014,GB0005776561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Graphite Enterprise,Ordinary Share,30/06/2014,GB0003292009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,HarbourVest Global Private Equity,Ordinary Share,30/06/2014,GG00BDSTPW61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,HgCapital,Ordinary Share,30/06/2014,GB0003921052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Mithras,Ordinary Share,30/06/2014,GB0005962864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Northern Investors Company,Ordinary Share,30/06/2014,GB00B08S4K30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Pantheon International Participations,Ordinary Share,30/06/2014,GB0004148507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Princess Private Equity Holding,Ordinary Share,30/06/2014,GG00B28C2R28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Private Equity Investor,Ordinary Share,30/06/2014,GB0000504034,33172300,0,0,0,0,0,0,0,0,0,0,189.5,,-829963,,,14805508,0,0,0,N/A,19.25,0,0,19,,,Y,,Y,100,33172300,34002263,,,,,,224.05,,,,,,,,,,224.05,,,,,,19.25,0,0,0,80.75,0,0,0,19.25,0,0,0,0,0,0.92,79.83,36,0,64,0,0,0,7,0,93,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,34002263,,,,GBP
Private Equity,Standard Life European Private Equity,Ordinary Share,30/06/2014,GB0030474687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Property Direct - Asia Pacific,Macau Property Opportunities,Ordinary Share,30/06/2014,GB00B1436N68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Direct - Asia Pacific,Yatra Capital,Ordinary Share,30/06/2014,JE00B1FBT077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Property Direct - Europe,AXA Property,Ordinary Share,30/06/2014,GG00BKXH2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Direct - Europe,Eastern European Property,Ordinary Share,30/06/2014,GB00B0XQ3R24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Direct - Europe,Globalworth Real Estate Investments,Ordinary Share,30/06/2014,GG00B979FD04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Direct - Europe,Kennedy Wilson Europe Real Estate,Ordinary Share,30/06/2014,JE00BJT32513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Direct - Europe,Tamar European Industrial,Ordinary Share,30/06/2014,GB00B1CH3174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Property Direct - UK,Custodian REIT,Ordinary Share,30/06/2014,GB00BJFLFT45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Direct - UK,F&C Commercial Property,Ordinary Share,30/06/2014,GG00B4ZPCJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Direct - UK,F&C UK Real Estate Investments,Ordinary Share,30/06/2014,GB00B012T521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Direct - UK,Schroder Real Estate,Ordinary Share,30/06/2014,GB00B01HM147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Direct - UK,Standard Life Investments Property Income,Ordinary Share,30/06/2014,GB0033875286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Direct - UK,UK Commercial Property,Ordinary Share,30/06/2014,GB00B19Z2J52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
